Title,Artist,Genre,Link,Date,Location,Amount,Currency,Has Label,Label
Vices,Peggy Sue,alternative,https://peggysue.bandcamp.com/album/vices,2020-02-23,UK,£7,GBP,True,Kartel Music Group
Certified Ailments,Holiday Music,rock,https://holidaymusic.bandcamp.com/album/certified-ailments,2020-02-23,"Austin, Texas",$5,USD,False,
Light Echoes EP,Juno Mamba,electronic,https://junomamba.bandcamp.com/album/light-echoes-ep,2020-02-23,"Melbourne, Australia",$7,AUD,True,Soothsay
Heaven To A Tortured Mind,Yves Tumor,alternative,https://yves-tumor.bandcamp.com/album/heaven-to-a-tortured-mind,2020-02-23,,£7,GBP,False,
Journey Into Mr Re,Afrikan Sciences,electronic,https://afrikansciences.bandcamp.com/album/journey-into-mr-re,2020-02-23,"New York, New York",$12,USD,True,The Student Body Presents
Hip Hop Saved My Life feat. Guilty Simpson,Choi,hip-hop-rap,https://choimusic.bandcamp.com/album/hip-hop-saved-my-life-feat-guilty-simpson,2020-02-23,"Melbourne, Australia",$8,AUD,True,Choi Records
Bram De Looze – Colour Talk,Sdban Records,,https://sdbanrecords.bandcamp.com/album/bram-de-looze-colour-talk,2020-02-23,"Ghent, Belgium",€9,EUR,False,
Yes Doctor,Horatio Luna,hip-hop-rap,https://horatioluna.bandcamp.com/album/yes-doctor,2020-02-23,"Melbourne, Australia",$15,AUD,True,La Sap
2017 - 2019,Against All Logic,electronic,https://against-all-logic.bandcamp.com/album/2017-2019,2020-02-23,"New York, New York",$10,USD,True,Other Peopl
